complaint_id,timestamp,area_id,area_name,district,state,latitude,longitude,transaction_type,complaint_category,transaction_amount,transaction_amount_bucket,time_to_report_mins,hour,day_of_week,is_weekend,previous_incident_count,area_atm_density,is_night_window,area_baseline_risk_score,label_generation_prob,target_cash_withdrawal_event,day_name,sin_hour,cos_hour,sin_day,cos_day,log_time_to_report,log_transaction_amount
NCRP-2026-SYN-000001,2026-07-07 12:35:14,AREA-CA-119,Capital-Metro-District-A Industrial Cyber Cluster Sector-19,Capital-Metro-District-A,State-National-Capital,28.537562,77.156076,UPI_FRAUD,JOB_OFFER_FRAUD,4500.0,LOW_UNDER_10K,68,12,1,0,6,54,0,0.356,0.8058,1,Tuesday,0.0,-1.0,0.781831,0.62349,4.2341,8.4121
NCRP-2026-SYN-000002,2026-08-08 09:04:45,AREA-TE-153,Tech-Corridor-District-C University Campus Zone Sector-3,Tech-Corridor-District-C,State-South-Plateau,13.142094,77.534425,UPI_FRAUD,JOB_OFFER_FRAUD,71300.0,HIGH_50K_TO_200K,107,9,5,1,9,6,0,0.567,0.7411,0,Saturday,0.707107,-0.707107,-0.974928,-0.222521,4.6821,11.1747
NCRP-2026-SYN-000003,2026-08-13 14:04:57,AREA-FI-147,Financial-Hub-District-D High-Density Transit Node Sector-22,Financial-Hub-District-D,State-West-Coast,19.078073,72.808719,SIM_CLONE_FRAUD,KYC_EXPIRY_SPOOF,43900.0,MID_10K_TO_50K,56,14,3,0,10,23,0,0.664,0.7081,0,Thursday,-0.5,-0.866025,0.433884,-0.900969,4.0431,10.6897
NCRP-2026-SYN-000004,2026-05-29 03:04:32,AREA-CE-198,Central-Grid-District-A University Campus Zone Sector-13,Central-Grid-District-A,State-Central-Valley,21.170566,78.951536,UPI_FRAUD,KYC_EXPIRY_SPOOF,10900.0,MID_10K_TO_50K,52,3,4,0,5,17,1,0.437,0.8054,1,Friday,0.707107,0.707107,-0.433884,-0.900969,3.9703,9.2966
NCRP-2026-SYN-000005,2026-06-24 12:31:13,AREA-TE-158,Tech-Corridor-District-B Commercial ATM Hub Sector-8,Tech-Corridor-District-B,State-South-Plateau,13.029944,77.497882,UPI_FRAUD,KYC_EXPIRY_SPOOF,17800.0,MID_10K_TO_50K,8,12,2,0,16,47,0,0.75,0.9252,1,Wednesday,0.0,-1.0,0.974928,-0.222521,2.1972,9.787
NCRP-2026-SYN-000006,2026-08-02 18:59:56,AREA-TE-167,Tech-Corridor-District-E Commercial ATM Hub Sector-17,Tech-Corridor-District-E,State-South-Plateau,13.025623,77.616886,UPI_FRAUD,INVESTMENT_MULE_SCAM,2600.0,LOW_UNDER_10K,68,18,6,1,8,45,0,0.726,0.98,1,Sunday,-1.0,-0.0,-0.781831,0.62349,4.2341,7.8637
NCRP-2026-SYN-000007,2026-08-06 20:15:50,AREA-CE-199,Central-Grid-District-B Tech Park Outskirts Sector-14,Central-Grid-District-B,State-Central-Valley,21.106032,79.025107,CARD_SKIMMING,SEXTORTION_BLACKMAIL,5400.0,LOW_UNDER_10K,118,20,3,0,10,15,0,0.656,0.8349,1,Thursday,-0.866025,0.5,0.433884,-0.900969,4.7791,8.5943
NCRP-2026-SYN-000008,2026-07-24 22:12:06,AREA-CA-107,Capital-Metro-District-A Commercial ATM Hub Sector-7,Capital-Metro-District-A,State-National-Capital,28.676957,77.227952,UPI_FRAUD,KYC_EXPIRY_SPOOF,4900.0,LOW_UNDER_10K,143,22,4,0,12,34,1,0.622,0.98,1,Friday,-0.5,0.866025,-0.433884,-0.900969,4.9698,8.4972
NCRP-2026-SYN-000009,2026-06-06 21:22:27,AREA-FI-141,Financial-Hub-District-D University Campus Zone Sector-16,Financial-Hub-District-D,State-West-Coast,19.063816,72.928239,UPI_FRAUD,KYC_EXPIRY_SPOOF,3400.0,LOW_UNDER_10K,128,21,5,1,16,11,1,0.48,0.9044,0,Saturday,-0.707107,0.707107,-0.974928,-0.222521,4.8598,8.1318
NCRP-2026-SYN-000010,2026-07-16 15:46:03,AREA-CE-187,Central-Grid-District-B Commercial ATM Hub Sector-2,Central-Grid-District-B,State-Central-Valley,21.129711,79.056525,CARD_SKIMMING,KYC_EXPIRY_SPOOF,10400.0,MID_10K_TO_50K,65,15,3,0,12,52,0,0.726,0.9201,1,Thursday,-0.707107,-0.707107,0.433884,-0.900969,4.1897,9.2497
NCRP-2026-SYN-000011,2026-08-19 23:41:06,AREA-TE-158,Tech-Corridor-District-B Commercial ATM Hub Sector-8,Tech-Corridor-District-B,State-South-Plateau,13.036416,77.504153,AEPS_SPOOF,SEXTORTION_BLACKMAIL,2000.0,LOW_UNDER_10K,503,23,2,0,13,47,1,0.75,0.98,1,Wednesday,-0.258819,0.965926,0.974928,-0.222521,6.2226,7.6014
NCRP-2026-SYN-000012,2026-06-01 14:21:51,AREA-IN-174,Industrial-Belt-District-D Marketplace & Trade Center Sector-4,Industrial-Belt-District-D,State-East-Zone,22.512837,88.364897,SIM_CLONE_FRAUD,INVESTMENT_MULE_SCAM,81000.0,HIGH_50K_TO_200K,9,14,0,0,9,37,0,0.753,0.8779,1,Monday,-0.5,-0.866025,0.0,1.0,2.3026,11.3022
NCRP-2026-SYN-000013,2026-06-07 17:12:34,AREA-FI-131,Financial-Hub-District-F Commercial ATM Hub Sector-6,Financial-Hub-District-F,State-West-Coast,19.120447,73.190856,UPI_FRAUD,INVESTMENT_MULE_SCAM,30400.0,MID_10K_TO_50K,62,17,6,1,12,51,0,0.63,0.98,1,Sunday,-0.965926,-0.258819,-0.781831,0.62349,4.1431,10.3222
NCRP-2026-SYN-000014,2026-07-21 16:11:17,AREA-TE-169,Tech-Corridor-District-A Marketplace & Trade Center Sector-19,Tech-Corridor-District-A,State-South-Plateau,12.977644,77.527045,SIM_CLONE_FRAUD,KYC_EXPIRY_SPOOF,10400.0,MID_10K_TO_50K,340,16,1,0,5,42,0,0.439,0.8601,1,Tuesday,-0.866025,-0.5,0.781831,0.62349,5.8319,9.2497
NCRP-2026-SYN-000015,2026-07-23 18:59:04,AREA-CA-116,Capital-Metro-District-D High-Density Transit Node Sector-16,Capital-Metro-District-D,State-National-Capital,28.634303,77.19589,UPI_FRAUD,JOB_OFFER_FRAUD,22900.0,MID_10K_TO_50K,71,18,3,0,1,51,0,0.291,0.7859,1,Thursday,-1.0,-0.0,0.433884,-0.900969,4.2767,10.0389
NCRP-2026-SYN-000016,2026-07-20 22:54:35,AREA-FI-143,Financial-Hub-District-F Marketplace & Trade Center Sector-18,Financial-Hub-District-F,State-West-Coast,19.004212,72.834747,UPI_FRAUD,PHISHING_PORTAL,16000.0,MID_10K_TO_50K,24,22,0,0,7,45,1,0.549,0.98,1,Monday,-0.5,0.866025,0.0,1.0,3.2189,9.6804
NCRP-2026-SYN-000017,2026-06-06 07:34:53,AREA-FI-140,Financial-Hub-District-C Industrial Cyber Cluster Sector-15,Financial-Hub-District-C,State-West-Coast,19.090572,72.850079,CARD_SKIMMING,INVESTMENT_MULE_SCAM,183400.0,HIGH_50K_TO_200K,10,7,5,1,21,64,0,0.945,0.98,1,Saturday,0.965926,-0.258819,-0.974928,-0.222521,2.3979,12.1194
NCRP-2026-SYN-000018,2026-05-26 01:59:48,AREA-IN-174,Industrial-Belt-District-D Marketplace & Trade Center Sector-4,Industrial-Belt-District-D,State-East-Zone,22.525898,88.368265,CARD_SKIMMING,PHISHING_PORTAL,38000.0,MID_10K_TO_50K,190,1,1,0,11,37,1,0.753,0.98,0,Tuesday,0.258819,0.965926,0.781831,0.62349,5.2523,10.5454
NCRP-2026-SYN-000019,2026-06-24 12:31:30,AREA-FI-126,Financial-Hub-District-A Industrial Cyber Cluster Sector-1,Financial-Hub-District-A,State-West-Coast,19.06971,72.915703,AEPS_SPOOF,JOB_OFFER_FRAUD,5000.0,LOW_UNDER_10K,1014,12,2,0,5,60,0,0.443,0.8528,0,Wednesday,0.0,-1.0,0.974928,-0.222521,6.9226,8.5174
NCRP-2026-SYN-000020,2026-06-21 04:57:03,AREA-IN-175,Industrial-Belt-District-E Commercial ATM Hub Sector-5,Industrial-Belt-District-E,State-East-Zone,22.608855,88.471903,NET_BANKING_PHISHING,INVESTMENT_MULE_SCAM,71700.0,HIGH_50K_TO_200K,108,4,6,1,13,44,1,0.699,0.98,0,Sunday,0.866025,0.5,-0.781831,0.62349,4.6913,11.1803
NCRP-2026-SYN-000021,2026-06-15 09:24:16,AREA-CE-188,Central-Grid-District-C Marketplace & Trade Center Sector-3,Central-Grid-District-C,State-Central-Valley,21.043499,78.987258,AEPS_SPOOF,JOB_OFFER_FRAUD,2000.0,LOW_UNDER_10K,231,9,0,0,17,45,0,0.761,0.9785,1,Monday,0.707107,-0.707107,0.0,1.0,5.4467,7.6014
NCRP-2026-SYN-000022,2026-07-22 14:44:46,AREA-CE-198,Central-Grid-District-A University Campus Zone Sector-13,Central-Grid-District-A,State-Central-Valley,21.170172,78.950603,AEPS_SPOOF,PHISHING_PORTAL,10000.0,MID_10K_TO_50K,37,14,2,0,8,17,0,0.437,0.6805,0,Wednesday,-0.5,-0.866025,0.974928,-0.222521,3.6376,9.2104
NCRP-2026-SYN-000023,2026-08-04 20:31:09,AREA-CA-109,Capital-Metro-District-C Tech Park Outskirts Sector-9,Capital-Metro-District-C,State-National-Capital,28.557277,77.250151,AEPS_SPOOF,JOB_OFFER_FRAUD,2000.0,LOW_UNDER_10K,38,20,1,0,8,25,0,0.404,0.7485,1,Tuesday,-0.866025,0.5,0.781831,0.62349,3.6636,7.6014
NCRP-2026-SYN-000024,2026-06-18 14:03:37,AREA-FI-131,Financial-Hub-District-F Commercial ATM Hub Sector-6,Financial-Hub-District-F,State-West-Coast,19.112029,73.184969,AEPS_SPOOF,INVESTMENT_MULE_SCAM,2000.0,LOW_UNDER_10K,781,14,3,0,9,51,0,0.63,0.98,1,Thursday,-0.5,-0.866025,0.433884,-0.900969,6.6619,7.6014
NCRP-2026-SYN-000025,2026-08-02 11:20:03,AREA-FI-136,Financial-Hub-District-E University Campus Zone Sector-11,Financial-Hub-District-E,State-West-Coast,19.213982,72.915464,UPI_FRAUD,JOB_OFFER_FRAUD,8400.0,LOW_UNDER_10K,332,11,6,1,10,17,0,0.469,0.7885,0,Sunday,0.258819,-0.965926,-0.781831,0.62349,5.8081,9.0361
NCRP-2026-SYN-000026,2026-05-31 01:32:58,AREA-CA-114,Capital-Metro-District-B Marketplace & Trade Center Sector-14,Capital-Metro-District-B,State-National-Capital,28.559439,77.189963,SIM_CLONE_FRAUD,KYC_EXPIRY_SPOOF,2100.0,LOW_UNDER_10K,203,1,6,1,7,34,1,0.572,0.98,1,Sunday,0.258819,0.965926,-0.781831,0.62349,5.3181,7.6502
NCRP-2026-SYN-000027,2026-07-31 18:32:05,AREA-FI-140,Financial-Hub-District-C Industrial Cyber Cluster Sector-15,Financial-Hub-District-C,State-West-Coast,19.070817,72.84368,UPI_FRAUD,INVESTMENT_MULE_SCAM,2600.0,LOW_UNDER_10K,171,18,4,0,16,64,0,0.945,0.98,0,Friday,-1.0,-0.0,-0.433884,-0.900969,5.1475,7.8637
NCRP-2026-SYN-000028,2026-06-17 11:04:43,AREA-TE-155,Tech-Corridor-District-E Suburban Residential Zone Sector-5,Tech-Corridor-District-E,State-South-Plateau,12.893943,77.62629,UPI_FRAUD,JOB_OFFER_FRAUD,101600.0,HIGH_50K_TO_200K,265,11,2,0,5,13,0,0.477,0.7225,0,Wednesday,0.258819,-0.965926,0.974928,-0.222521,5.5835,11.5288
NCRP-2026-SYN-000029,2026-06-24 14:56:36,AREA-CE-188,Central-Grid-District-C Marketplace & Trade Center Sector-3,Central-Grid-District-C,State-Central-Valley,21.0412,78.976129,UPI_FRAUD,INVESTMENT_MULE_SCAM,9000.0,LOW_UNDER_10K,297,14,2,0,12,45,0,0.761,0.98,1,Wednesday,-0.5,-0.866025,0.974928,-0.222521,5.6971,9.1051
