area_id,area_name,district,state,region,zone_type,latitude,longitude,radius_km,atm_pos_density,baseline_risk_score,risk_category,active_surveillance
AREA-CA-101,Capital-Metro-District-A University Campus Zone Sector-1,Capital-Metro-District-A,State-National-Capital,Capital-Metro,University Campus Zone,28.653637,77.197939,1.8,18,0.41,MEDIUM,False
AREA-CA-102,Capital-Metro-District-B University Campus Zone Sector-2,Capital-Metro-District-B,State-National-Capital,Capital-Metro,University Campus Zone,28.740237,77.270395,2.3,19,0.41,MEDIUM,False
AREA-CA-103,Capital-Metro-District-C High-Density Transit Node Sector-3,Capital-Metro-District-C,State-National-Capital,Capital-Metro,High-Density Transit Node,28.475907,77.164017,1.9,37,0.627,MEDIUM,True
AREA-CA-104,Capital-Metro-District-D Commercial ATM Hub Sector-4,Capital-Metro-District-D,State-National-Capital,Capital-Metro,Commercial ATM Hub,28.619302,77.09502,3.5,47,0.375,LOW,False
AREA-CA-105,Capital-Metro-District-E Tech Park Outskirts Sector-5,Capital-Metro-District-E,State-National-Capital,Capital-Metro,Tech Park Outskirts,28.565849,77.185665,1.8,25,0.572,MEDIUM,True
AREA-CA-106,Capital-Metro-District-F Suburban Residential Zone Sector-6,Capital-Metro-District-F,State-National-Capital,Capital-Metro,Suburban Residential Zone,28.679704,77.111333,1.6,10,0.278,LOW,False
AREA-CA-107,Capital-Metro-District-A Commercial ATM Hub Sector-7,Capital-Metro-District-A,State-National-Capital,Capital-Metro,Commercial ATM Hub,28.672977,77.222709,2.2,34,0.622,MEDIUM,True
AREA-CA-108,Capital-Metro-District-B Tech Park Outskirts Sector-8,Capital-Metro-District-B,State-National-Capital,Capital-Metro,Tech Park Outskirts,28.577049,77.29357,3.3,19,0.53,MEDIUM,True
AREA-CA-109,Capital-Metro-District-C Tech Park Outskirts Sector-9,Capital-Metro-District-C,State-National-Capital,Capital-Metro,Tech Park Outskirts,28.559746,77.257934,2.1,25,0.404,MEDIUM,False
AREA-CA-110,Capital-Metro-District-D University Campus Zone Sector-10,Capital-Metro-District-D,State-National-Capital,Capital-Metro,University Campus Zone,28.575566,77.194147,3.6,13,0.377,LOW,False
AREA-CA-111,Capital-Metro-District-E Suburban Residential Zone Sector-11,Capital-Metro-District-E,State-National-Capital,Capital-Metro,Suburban Residential Zone,28.642831,77.15739,2.2,15,0.299,LOW,False
AREA-CA-112,Capital-Metro-District-F Tech Park Outskirts Sector-12,Capital-Metro-District-F,State-National-Capital,Capital-Metro,Tech Park Outskirts,28.620864,77.185079,2.3,19,0.409,MEDIUM,False
AREA-CA-113,Capital-Metro-District-A Marketplace & Trade Center Sector-13,Capital-Metro-District-A,State-National-Capital,Capital-Metro,Marketplace & Trade Center,28.549221,77.168859,1.5,42,0.433,MEDIUM,False
AREA-CA-114,Capital-Metro-District-B Marketplace & Trade Center Sector-14,Capital-Metro-District-B,State-National-Capital,Capital-Metro,Marketplace & Trade Center,28.557736,77.182787,2.0,34,0.572,MEDIUM,True
AREA-CA-115,Capital-Metro-District-C Suburban Residential Zone Sector-15,Capital-Metro-District-C,State-National-Capital,Capital-Metro,Suburban Residential Zone,28.50067,77.175348,2.5,7,0.347,LOW,False
AREA-CA-116,Capital-Metro-District-D High-Density Transit Node Sector-16,Capital-Metro-District-D,State-National-Capital,Capital-Metro,High-Density Transit Node,28.634504,77.203044,2.1,51,0.291,LOW,False
AREA-CA-117,Capital-Metro-District-E Marketplace & Trade Center Sector-17,Capital-Metro-District-E,State-National-Capital,Capital-Metro,Marketplace & Trade Center,28.618718,77.406059,2.5,26,0.503,MEDIUM,True
AREA-CA-118,Capital-Metro-District-F Commercial ATM Hub Sector-18,Capital-Metro-District-F,State-National-Capital,Capital-Metro,Commercial ATM Hub,28.705326,77.269155,2.6,39,0.905,HIGH,True
AREA-CA-119,Capital-Metro-District-A Industrial Cyber Cluster Sector-19,Capital-Metro-District-A,State-National-Capital,Capital-Metro,Industrial Cyber Cluster,28.534657,77.163696,4.0,54,0.356,LOW,False
AREA-CA-120,Capital-Metro-District-B Tech Park Outskirts Sector-20,Capital-Metro-District-B,State-National-Capital,Capital-Metro,Tech Park Outskirts,28.540346,77.332995,2.3,31,0.412,MEDIUM,False
AREA-CA-121,Capital-Metro-District-C Commercial ATM Hub Sector-21,Capital-Metro-District-C,State-National-Capital,Capital-Metro,Commercial ATM Hub,28.678981,77.110531,3.7,52,0.329,LOW,False
AREA-CA-122,Capital-Metro-District-D Tech Park Outskirts Sector-22,Capital-Metro-District-D,State-National-Capital,Capital-Metro,Tech Park Outskirts,28.634691,77.271546,1.9,20,0.482,MEDIUM,False
AREA-CA-123,Capital-Metro-District-E Suburban Residential Zone Sector-23,Capital-Metro-District-E,State-National-Capital,Capital-Metro,Suburban Residential Zone,28.559498,77.22758,1.7,13,0.452,MEDIUM,False
AREA-CA-124,Capital-Metro-District-F Industrial Cyber Cluster Sector-24,Capital-Metro-District-F,State-National-Capital,Capital-Metro,Industrial Cyber Cluster,28.763162,77.246907,4.0,53,0.374,LOW,False
AREA-CA-125,Capital-Metro-District-A Tech Park Outskirts Sector-25,Capital-Metro-District-A,State-National-Capital,Capital-Metro,Tech Park Outskirts,28.69097,77.242022,4.2,24,0.517,MEDIUM,True
AREA-FI-126,Financial-Hub-District-A Industrial Cyber Cluster Sector-1,Financial-Hub-District-A,State-West-Coast,Financial-Hub,Industrial Cyber Cluster,19.069832,72.904992,3.2,60,0.443,MEDIUM,False
AREA-FI-127,Financial-Hub-District-B University Campus Zone Sector-2,Financial-Hub-District-B,State-West-Coast,Financial-Hub,University Campus Zone,19.126053,72.809127,1.7,12,0.294,LOW,False
AREA-FI-128,Financial-Hub-District-C University Campus Zone Sector-3,Financial-Hub-District-C,State-West-Coast,Financial-Hub,University Campus Zone,19.058123,72.93482,2.2,12,0.32,LOW,False
AREA-FI-129,Financial-Hub-District-D Industrial Cyber Cluster Sector-4,Financial-Hub-District-D,State-West-Coast,Financial-Hub,Industrial Cyber Cluster,19.089854,72.908525,4.5,51,0.818,HIGH,True
